code,country,gdp_per_capita,median_age,life_expectancy,hospital_beds_per_thousand,diabetes_prevalence,population_density,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,excess_mortality_cumulative_per_million
ABW,Aruba,44558.9296875,40.766998291015625,76.22579956054688,,4.599999904632568,598.8444213867188,84.00067,78.26926,3305.7075
AFG,Afghanistan,1983.8126220703125,16.75200080871582,65.61699676513672,0.3499999940395355,11.699999809265137,62.21554946899414,47.19545,45.270844,
AGO,Angola,8901.8876953125,16.389999389648438,64.24549865722656,0.75,4.900000095367432,28.58348274230957,46.44487,26.965265,
AIA,Anguilla,,37.77299880981445,79.11940002441406,,,157.8000030517578,76.45402,73.10238,
ALB,Albania,21641.07421875,35.94300079345703,78.768798828125,2.900000095367432,10.600000381469728,103.19759368896484,47.717087,45.24426,5870.339
AND,Andorra,65928.3046875,42.83200073242188,84.01640319824219,,10.100000381469728,169.62127685546875,72.643684,67.10946,1773.4039
ARE,United Arab Emirates,69701.8046875,30.902999877929688,80.48680114746094,1.870000004768372,20.700000762939453,144.21409606933594,97.54937,95.60813,777.56647
ARG,Argentina,26771.96484375,31.73900032043457,75.80609893798828,3.359999895095825,14.0,16.59227180480957,91.45777,76.860214,4347.6143
ARM,Armenia,20078.78515625,35.814998626708984,74.63330078125,4.239999771118164,7.699999809265137,101.19002532958984,39.95012,35.779274,8289.0625
ASM,American Samoa,,27.927000045776367,72.7520980834961,,,241.8249969482422,,,
ATG,Antigua and Barbuda,29371.638671875,35.071998596191406,77.4832992553711,3.4200000762939453,11.600000381469728,211.0227203369141,69.24071,67.187935,-654.30273
AUS,Australia,60303.98046875,37.512001037597656,82.76619720458984,3.819999933242798,7.400000095367432,3.4062557220458984,84.85075,82.62102,1420.1497
AUT,Austria,63788.078125,42.83200073242188,81.2958984375,6.699999809265137,5.400000095367432,109.84825134277344,76.11823,73.72863,3139.6274
AZE,Azerbaijan,22072.1484375,32.0620002746582,74.125,3.680000066757202,10.199999809265137,124.56511688232422,52.191284,47.230198,3878.8389
BDI,Burundi,1051.25927734375,15.67199993133545,62.88190078735352,0.6899999976158142,4.300000190734863,518.7344970703125,0.27707168,0.27265763,
BEL,Belgium,63347.78515625,41.1510009765625,81.15889739990234,5.420000076293945,5.900000095367432,384.4720458984375,79.55496,78.77591,2598.2983
BEN,Benin,3901.325927734375,17.645999908447266,60.47510147094727,0.4300000071525574,8.100000381469727,122.02471923828124,26.870075,19.934122,
BES,Bonaire Sint Eustatius and Saba,,39.77299880981445,78.15450286865234,,,88.98757934570312,66.68877,58.407204,
BFA,Burkina Faso,2547.67236328125,17.041000366210938,60.70000076293945,0.2000000029802322,4.5,82.2698745727539,27.051752,23.245539,
BGD,Bangladesh,8486.78515625,24.989999771118164,74.26470184326172,0.9200000166893004,13.199999809265137,1301.259033203125,89.4455,83.95181,
BGR,Bulgaria,34221.53125,44.15399932861328,74.0342025756836,8.199999809265137,7.400000095367432,62.87639999389648,31.583748,30.443129,9407.143
BHR,Bahrain,58891.83203125,31.683000564575195,80.99210357666016,1.840000033378601,22.100000381469727,1941.088623046875,80.939445,80.00182,
BHS,Bahamas,36244.05078125,34.23400115966797,74.49109649658203,2.1700000762939453,8.899999618530273,39.71448516845703,43.972713,42.0011,2630.4177
BIH,Bosnia and Herzegovina,20527.693359375,44.55899810791016,76.7771987915039,2.3499999046325684,10.300000190734863,62.593788146972656,29.43689,26.400383,6839.985
BLM,Saint Barthelemy,,38.70700073242188,84.28050231933594,,,,,,
BLR,Belarus,29040.97265625,40.19200134277344,74.36119842529297,9.770000457763672,5.099999904632568,45.19950866699219,71.255,69.931625,9462.535
BLZ,Belize,12621.408203125,25.520999908447266,72.19039916992188,1.0,14.100000381469728,17.656335830688477,64.17847,54.992664,1799.2277
BMU,Bermuda,109311.9375,44.70299911499024,82.06159973144531,,13.399999618530272,1199.4814453125,74.9614,73.576546,3201.5977
BOL,Bolivia,11329.1513671875,24.392000198364254,67.43419647216797,1.4900000095367432,3.400000095367432,11.148487091064451,60.949844,51.01023,5224.8447
BRA,Brazil,19652.365234375,33.50600051879883,74.87190246582031,2.5199999809265137,10.600000381469728,25.161867141723636,90.17482,83.76549,4061.9883
BRB,Barbados,21837.724609375,38.652000427246094,75.67610168457031,6.400000095367432,13.199999809265137,656.5674438476562,58.03722,54.91811,2115.9724
BRN,Brunei,79071.734375,31.275999069213867,72.91709899902344,3.5799999237060547,13.699999809265137,86.40872955322266,99.07219,98.09827,1385.0833
BTN,Bhutan,14610.2958984375,28.809999465942383,72.75399780273438,2.1600000858306885,12.0,20.47511863708496,89.52455,86.778175,748.5082
BWA,Botswana,18068.505859375,22.60400009155273,68.74870300292969,2.359999895095825,4.599999904632568,4.305215835571289,79.96467,68.17876,
CAF,Central African Republic,1111.2193603515625,14.29800033569336,18.817699432373047,1.0,7.599999904632568,8.183309555053711,51.00764,48.74395,
CAN,Canada,56706.82421875,40.25299835205078,81.24929809570312,2.539999961853028,7.699999809265137,4.417178630828857,89.49461,81.80634,1863.0999
CHE,Switzerland,82286.1796875,41.96099853515625,83.20030212402344,4.380000114440918,5.300000190734863,222.53257751464844,69.3447,,2417.983
CHL,Chile,30182.787109375,35.5260009765625,79.17620086669922,1.940000057220459,12.199999809265137,26.29750061035156,92.51003,90.523636,3436.7048
CHN,China,23845.619140625,38.53400039672852,78.20210266113281,5.630000114440918,11.899999618530272,151.8052520751953,92.48145,90.12756,
CIV,Cote d'Ivoire,6747.0380859375,17.992000579833984,61.562198638916016,,5.0,95.58177185058594,44.64014,40.020737,
CMR,Cameroon,4916.93359375,17.62299919128418,62.44279861450195,2.650000095367432,6.900000095367432,58.45607376098633,13.5843525,11.570632,
COD,Democratic Republic of Congo,1602.074951171875,15.765999794006348,60.97890090942383,,7.699999809265137,45.16749954223633,16.646704,14.062447,
COG,Congo,6181.470703125,18.20199966430664,65.00029754638672,,8.100000381469727,17.672340393066406,11.52855,10.838571,
COK,Cook Islands,,34.10900115966797,75.07869720458984,,,61.44583511352539,102.47508,99.87116,
COL,Colombia,18477.21484375,31.18099975585937,76.50810241699219,1.7000000476837158,8.399999618530273,46.63176727294922,83.13468,71.90879,3681.4817
COM,Comoros,3482.534912109375,20.101999282836918,66.48059844970703,,10.800000190734863,448.248779296875,52.60486,47.60061,
CPV,Cape Verde,9848.953125,27.32200050354004,75.90679931640625,2.2100000381469727,6.800000190734863,128.97023010253906,68.63569,59.39779,1312.6262
CRI,Costa Rica,26973.435546875,33.5359992980957,79.31639862060547,1.1399999856948853,9.800000190734863,99.5253448486328,91.516174,85.98951,1839.8452
CUB,Cuba,,41.505001068115234,77.62909698486328,4.329999923706055,9.399999618530272,106.54934692382812,97.70112,90.90253,4898.268
CUW,Curacao,28762.05859375,37.95399856567383,76.72869873046875,,13.399999618530272,417.4549560546875,58.592392,54.42946,
CYM,Cayman Islands,79675.859375,37.499000549316406,79.98410034179688,,11.100000381469728,298.375,86.737885,84.75911,
CYP,Cyprus,52635.58203125,37.3390007019043,80.43370056152344,2.150000095367432,10.0,144.08831787109375,71.37496,69.774,1887.6415
CZE,Czechia,47963.8984375,42.64500045776367,79.16480255126953,6.539999961853027,7.599999904632568,138.27767944335938,65.41614,64.60811,4199.328
DEU,Germany,62554.5546875,45.02399826049805,80.57959747314453,7.550000190734863,7.800000190734863,240.66580200195312,77.15449,75.596375,2896.0676
DJI,Djibouti,6871.12451171875,24.084999084472656,65.54019927978516,1.399999976158142,6.5,49.05526351928711,37.074368,35.28341,
DMA,Dominica,18739.36328125,35.29499816894531,71.08059692382812,3.9700000286102295,12.899999618530272,89.12933349609375,49.358982,45.864437,
DNK,Denmark,71431.2890625,41.21599960327149,81.29060363769531,2.430000066757202,6.400000095367432,147.57252502441406,80.40999,79.82519,969.05524
DOM,Dominican Republic,24229.888671875,27.316999435424805,74.21080017089844,0.75,17.600000381469727,236.2823028564453,65.5985,54.586662,909.64685
DZA,Algeria,15501.919921875,27.982999801635746,76.12889862060547,1.6100000143051147,17.5,19.094181060791016,17.239624,14.251447,2765.3525
ECU,Ecuador,13935.5390625,27.975000381469727,76.57669830322266,1.3200000524520874,4.900000095367432,71.76638793945312,86.09671,79.94636,4727.0576
EGY,Egypt,16798.15234375,23.8129997253418,71.00969696044922,1.059999942779541,22.399999618530277,113.1330108642578,50.53117,37.59353,3195.8435
ERI,Eritrea,,18.405000686645508,67.78919982910156,1.0199999809265137,4.400000095367432,28.167768478393555,,,
ESH,Western Sahara,,31.697999954223636,71.14320373535156,,,2.1381428241729736,,,
ESP,Spain,48460.29296875,44.391998291015625,82.36609649658203,2.9100000858306885,9.699999809265137,95.70783233642578,86.45751,85.17771,3152.1123
